" Siege of Berlin"

Attacker,Georgian_Kingdom
Defender,Greenland
Winner,Nobody

Participant Logs,,,,,,Kill Logs,,,,,
Player,Damage,Kills,Deaths,KDR,,Time (h),Killer Side,Killer,Victim,Location
"#Spectral arrow",2.67,0,0,0.00,,16,Greenland,S3xyTeo,TR3V0X,"(2640.30, 59.80, -10723.70)"
"#Drowned",0.25,0,0,0.00,,17,Greenland,C4SHB4G,RinneganPT,"(2737.39, 24.39, -10734.14)"
"#Slime",0.16,0,0,0.00,,17,Greenland,S3xyTeo,K4ppah,"(2589.45, 64.31, -10724.45)"
"#Egg",0.00,0,0,0.00,,17,Georgian_Kingdom,TR3V0X,Tgrlkona61,"(2662.01, 64.25, -10703.41)"
"",,,,,,18,Greenland,Ezoteric_,5EERGI,"(2697.52, 62.38, -10724.65)"
"",,,,,,18,Greenland,TridentChugger,5EERGI,"(2745.70, 61.12, -10726.70)"
"",,,,,,18,Georgian_Kingdom,Tlapss,S3xyTeo,"(2760.48, 50.36, -10715.00)"
"",,,,,,18,Georgian_Kingdom,5EERGI,S3xyTeo,"(2615.94, 61.00, -10672.30)"
"",,,,,,18,Greenland,TLCFoxer,5EERGI,"(2702.60, 58.00, -10690.78)"
"",,,,,,18,Georgian_Kingdom,Tlapss,JosePRizal,"(2697.30, 61.55, -10670.70)"
"",,,,,,18,Greenland,S3xyTeo,Zoooos,"(2734.30, 46.43, -10719.30)"
"",,,,,,19,Greenland,___Allen,xKotaro,"(2717.43, 59.00, -10719.89)"
"",,,,,,19,Greenland,___Allen,rolyy,"(2668.68, 66.09, -10619.70)"
"",,,,,,19,Greenland,TLCarnas,rolyy,"(2680.58, 61.31, -10705.30)"
"",,,,,,19,Greenland,___Allen,Lapri,"(2716.50, 53.13, -10702.70)"
"",,,,,,19,Georgian_Kingdom,NetflixAndMonkey,mervster,"(2694.74, 65.00, -10592.45)"
"",,,,,,19,Georgian_Kingdom,xKotaro,mucleck,"(2639.65, 68.61, -10654.70)"
"",,,,,,19,Greenland,TLCFoxer,NetflixAndMonkey,"(2706.87, 59.00, -10718.30)"
"",,,,,,19,Georgian_Kingdom,rolyy,Ezoteric_,"(2710.27, 53.57, -10701.01)"
"",,,,,,19,Greenland,TLCFoxer,rolyy,"(2708.21, 50.37, -10698.81)"
"",,,,,,19,Georgian_Kingdom,xKotaro,Xavlummea,"(2616.35, 67.41, -10660.52)"
"",,,,,,19,Greenland,Ezoteric_,rolyy,"(2707.99, 58.00, -10711.90)"
"",,,,,,19,Greenland,TiCTaCPoWer,Tlapss,"(2632.30, 55.15, -10682.65)"
"",,,,,,19,Georgian_Kingdom,NetflixAndMonkey,Ezoteric_,"(2656.56, 63.77, -10715.77)"
"",,,,,,20,Georgian_Kingdom,Aesyr,Reerr,"(2766.84, 63.00, -10727.41)"
"",,,,,,20,Greenland,TiCTaCPoWer,Tlapss,"(2725.81, 64.08, -10654.47)"
"",,,,,,20,Greenland,Aesyr,Pupunan,"(2726.55, 63.42, -10756.14)"
"",,,,,,20,Greenland,TiCTaCPoWer,xKotaro,"(2716.45, 61.68, -10720.31)"
"",,,,,,20,Greenland,TridentChugger,Barters,"(2734.30, 46.78, -10718.30)"
"",,,,,,20,Greenland,TiCTaCPoWer,Nekometa13,"(2695.16, 63.58, -10676.51)"
"",,,,,,20,Georgian_Kingdom,Pupunan,TLCFoxer,"(2675.54, 63.85, -10704.17)"
"",,,,,,20,Georgian_Kingdom,5EERGI,Ezoteric_,"(2677.95, 64.72, -10700.40)"
"",,,,,,20,Georgian_Kingdom,Pupunan,TiCTaCPoWer,"(2730.12, 58.03, -10731.71)"
"",,,,,,20,Greenland,TLCFoxer,Offlined,"(2767.70, 57.01, -10715.30)"
"",,,,,,20,Georgian_Kingdom,RinneganPT,lilbrobro,"(2741.51, 64.25, -10715.26)"
"",,,,,,20,Georgian_Kingdom,RinneganPT,Reerr,"(2742.33, 63.00, -10713.53)"
"",,,,,,20,Georgian_Kingdom,Lostnation,mucleck,"(2734.30, 61.00, -10679.40)"
"",,,,,,20,Greenland,Ezoteric_,Offlined,"(2772.88, 58.00, -10693.72)"
